project,window_days,min_claimed,n,med_claimed,med_realized,med_ratio,share_below,med_claimed_base,med_realized_base
aave-v3,180,1,628,2.87,3.33,1.040,0.443,2.86,3.29
aave-v3,30,1,823,3.03,3.24,1.013,0.464,2.66,2.86
aave-v3,365,1,487,3.11,3.59,1.023,0.476,3.03,3.59
aave-v3,90,1,737,2.90,3.25,1.024,0.464,2.72,3.01
compound-v3,180,1,299,3.72,4.09,1.038,0.462,3.11,3.42
compound-v3,30,1,349,3.41,3.57,1.032,0.378,3.00,3.11
compound-v3,365,1,239,4.00,4.04,0.985,0.523,3.19,3.57
compound-v3,90,1,329,3.58,3.71,1.048,0.435,3.05,3.20
euler-v2,180,1,208,4.23,4.13,0.893,0.611,3.24,2.67
euler-v2,30,1,384,4.14,4.36,1.027,0.432,3.08,3.28
euler-v2,365,1,91,4.23,2.87,0.791,0.648,4.23,2.84
euler-v2,90,1,303,4.16,4.40,0.983,0.528,3.08,2.81
fluid-lending,180,1,480,4.64,5.08,1.023,0.473,2.21,2.71
fluid-lending,30,1,648,4.63,4.99,1.026,0.418,2.38,2.75
fluid-lending,365,1,280,6.11,5.99,0.939,0.618,2.35,3.03
fluid-lending,90,1,586,4.55,4.95,1.021,0.471,2.25,2.84
moonwell-lending,180,1,417,3.11,2.57,0.844,0.650,0.95,0.90
moonwell-lending,30,1,432,3.02,3.05,0.981,0.528,0.99,1.03
moonwell-lending,365,1,321,3.72,2.33,0.701,0.769,0.94,0.92
moonwell-lending,90,1,452,3.05,2.80,0.923,0.595,0.97,0.88
morpho-blue,180,1,1189,4.61,4.56,0.987,0.516,4.01,4.15
morpho-blue,30,1,2095,4.33,4.40,1.030,0.435,3.90,3.96
morpho-blue,365,1,585,5.04,4.93,0.896,0.602,4.48,4.27
morpho-blue,90,1,1681,4.45,4.46,1.017,0.475,3.98,4.01
sparklend,180,1,128,2.09,2.01,1.001,0.500,2.09,2.01
sparklend,30,1,163,2.17,2.19,1.015,0.405,2.17,2.19
sparklend,365,1,82,1.93,1.91,1.031,0.488,1.93,1.91
sparklend,90,1,148,2.18,2.15,0.985,0.520,2.18,2.15
venus-core-pool,180,1,295,3.10,3.14,0.840,0.566,2.79,2.95
venus-core-pool,30,1,325,2.74,2.99,0.978,0.523,2.64,2.86
venus-core-pool,365,1,260,3.54,4.13,0.835,0.569,3.23,3.94
venus-core-pool,90,1,312,2.86,3.01,0.865,0.583,2.66,2.82
aave-v3,180,3,302,4.41,4.56,0.928,0.579,4.39,4.56
aave-v3,30,3,419,4.41,4.54,0.988,0.525,3.91,3.96
aave-v3,365,3,251,4.61,4.78,0.896,0.622,4.58,4.78
aave-v3,90,3,359,4.45,4.39,0.919,0.591,4.17,4.14
compound-v3,180,3,202,4.79,4.62,0.899,0.594,3.87,4.00
compound-v3,30,3,213,4.54,4.74,1.017,0.465,3.71,4.02
compound-v3,365,3,168,5.14,4.81,0.895,0.667,4.21,4.14
compound-v3,90,3,207,4.57,4.73,0.973,0.541,3.78,4.02
euler-v2,180,3,132,5.47,5.36,0.850,0.697,4.67,4.55
euler-v2,30,3,259,5.05,5.46,1.020,0.452,4.29,4.57
euler-v2,365,3,57,4.92,5.62,0.736,0.789,4.80,5.42
euler-v2,90,3,202,5.09,5.48,0.944,0.574,4.29,4.47
fluid-lending,180,3,300,6.64,6.45,0.945,0.533,3.52,3.62
fluid-lending,30,3,411,6.05,6.13,1.026,0.416,3.69,3.87
fluid-lending,365,3,186,8.12,6.46,0.806,0.731,4.13,3.83
fluid-lending,90,3,365,6.16,6.12,1.000,0.504,3.55,3.75
moonwell-lending,180,3,216,6.32,5.84,0.855,0.644,2.43,1.77
moonwell-lending,30,3,216,6.26,6.30,0.983,0.509,2.81,2.46
moonwell-lending,365,3,179,6.73,5.41,0.637,0.810,2.26,1.18
moonwell-lending,90,3,229,6.26,5.85,0.952,0.550,2.43,2.09
morpho-blue,180,3,924,5.37,5.15,0.919,0.587,4.65,4.62
morpho-blue,30,3,1598,5.08,5.21,1.014,0.472,4.48,4.49
morpho-blue,365,3,464,5.92,5.49,0.845,0.659,5.03,5.10
morpho-blue,90,3,1293,5.16,5.09,0.966,0.546,4.53,4.53
sparklend,180,3,49,4.62,7.22,0.998,0.510,4.62,7.22
sparklend,30,3,58,5.20,5.30,1.020,0.379,5.20,5.30
sparklend,90,3,55,5.02,6.05,0.984,0.527,5.02,6.05
venus-core-pool,180,3,149,5.93,6.81,0.840,0.597,5.74,6.75
venus-core-pool,30,3,150,5.93,6.26,0.988,0.513,5.74,6.19
venus-core-pool,365,3,139,6.36,5.82,0.774,0.619,6.26,5.77
venus-core-pool,90,3,149,5.93,6.73,0.851,0.604,5.74,6.71
