project,window_days,n,med_claimed,med_realized,med_ratio,share_below
aerodrome-slipstream,180,290,42.97,82.14,1.473,0.317
aerodrome-slipstream,30,475,40.51,71.24,1.609,0.267
aerodrome-slipstream,365,66,51.21,103.81,1.444,0.288
aerodrome-slipstream,90,392,39.82,74.53,1.635,0.301
balancer-v3,180,37,4.18,3.68,0.847,0.730
balancer-v3,30,46,4.26,4.07,0.945,0.696
balancer-v3,90,39,4.13,3.64,0.876,0.769
curve-dex,180,603,5.46,5.21,0.898,0.629
curve-dex,30,711,5.37,5.47,0.988,0.540
curve-dex,365,450,5.76,5.35,0.815,0.709
curve-dex,90,668,5.38,5.28,0.955,0.569
ethena-usde,180,50,8.00,6.42,0.938,0.580
ethena-usde,30,60,6.00,6.50,1.042,0.450
ethena-usde,365,39,10.29,8.47,0.811,0.692
ethena-usde,90,56,6.35,6.68,0.989,0.536
midas-rwa,30,37,8.07,8.18,1.019,0.405
ondo-yield-assets,180,44,3.57,3.61,1.012,0.500
ondo-yield-assets,30,154,3.55,3.61,1.018,0.091
ondo-yield-assets,90,110,3.55,3.61,1.018,0.236
sky-lending,180,75,5.00,5.03,0.960,0.573
sky-lending,30,101,4.75,4.74,1.018,0.297
sky-lending,365,59,5.00,5.43,0.879,0.729
sky-lending,90,87,4.75,4.79,1.000,0.506
uniswap-v3,180,1481,20.51,31.15,1.249,0.394
uniswap-v3,30,1687,19.69,27.06,1.257,0.372
uniswap-v3,365,1260,20.39,31.10,1.304,0.370
uniswap-v3,90,1607,20.00,29.65,1.273,0.372
uniswap-v4,180,51,11.58,12.91,0.907,0.569
uniswap-v4,30,133,10.99,11.66,0.938,0.549
uniswap-v4,90,98,11.49,12.94,0.944,0.541
