project,grp,month,pool_days,pools,base_apy,reward_apy,organic,tvl_sum,incentives_usd
aerodrome-slipstream,dex,2025-07,317,22,16.7070,10.5436,0.6131,45391188,4156493
aerodrome-slipstream,dex,2025-08,682,22,16.7759,12.9373,0.5646,47684991,11527057
aerodrome-slipstream,dex,2025-09,660,22,9.9594,5.0078,0.6654,39921456,3614953
aerodrome-slipstream,dex,2025-10,682,22,64.3238,34.3314,0.6520,7290893,4676956
aerodrome-slipstream,dex,2025-11,638,22,87.0197,60.1968,0.5911,5668493,5964428
aerodrome-slipstream,dex,2025-12,682,22,48.9323,19.3722,0.7164,6162409,2230600
aerodrome-slipstream,dex,2026-01,682,22,25.4325,13.0984,0.6601,7834267,1917375
aerodrome-slipstream,dex,2026-02,616,22,44.3205,26.0679,0.6297,5741469,2525907
aerodrome-slipstream,dex,2026-03,682,22,41.0570,13.1626,0.7572,5756267,1415710
aerodrome-slipstream,dex,2026-04,635,27,29.6458,32.5938,0.4763,5474365,3104197
aerodrome-slipstream,dex,2026-05,664,22,25.2287,10.2140,0.7118,5975797,1110370
aerodrome-slipstream,dex,2026-06,612,22,31.2665,14.2998,0.6862,4644383,1113566
aerodrome-slipstream,dex,2026-07,803,35,25.2907,32.1010,0.4407,4466535,3154362
aerodrome-slipstream,dex,2026-08,897,39,32.5385,71.6172,0.3124,3180819,5598299
aerodrome-slipstream,dex,2026-09,669,40,50.2653,103.9372,0.3260,3281380,6251162
aerodrome-v1,dex,2025-07,44,2,1.2466,12.6197,0.0899,14136009,215048
aerodrome-v1,dex,2025-08,62,2,1.2742,15.1933,0.0774,14307177,369237
aerodrome-v1,dex,2025-09,50,2,1.0932,11.2104,0.0889,16319437,250613
aerodrome-v1,dex,2025-10,46,2,1.8988,8.4324,0.1838,13637977,144933
aerodrome-v1,dex,2025-11,36,2,1.5904,12.4736,0.1131,12088041,148716
aerodrome-v1,dex,2025-12,44,2,1.0443,8.9205,0.1048,10454760,112424
aerodrome-v1,dex,2026-01,3,2,0.6410,6.5100,0.0896,10977264,5874
aerodrome-v1,dex,2026-02,1,1,0.8327,16.2673,0.0487,13076038,5828
aerodrome-v1,dex,2026-03,16,2,1.2439,8.4553,0.1282,8554969,31709
