project,grp,pools,tvl_now,incentives_usd,base_apy_w,reward_apy_w,organic,pool_days
sky-lending,stable,5,5156941534,0,4.767,0.000,1.0000,2305
ondo-yield-assets,stable,11,2553017496,0,3.516,0.000,1.0000,2561
ethena-usde,stable,1,1314879204,0,7.598,0.000,1.0000,945
curve-dex,dex,35,1057902484,35080564,1.700,1.739,0.4944,25427
uniswap-v3,dex,40,996580118,1176511,22.091,0.026,0.9988,37765
uniswap-v4,dex,22,506264290,0,18.135,0.000,1.0000,3249
midas-rwa,stable,15,391609846,0,7.953,0.000,1.0000,1214
aerodrome-slipstream,dex,40,136266248,58361436,24.863,18.087,0.5789,9921
falcon-finance,stable,2,84672912,0,6.111,0.000,1.0000,676
origin-ether,stable,2,76687668,0,2.700,0.000,1.0000,84
balancer-v3,dex,4,10801191,513068,2.205,1.650,0.5720,1568
aerodrome-v1,dex,2,9148654,1548225,1.235,10.930,0.1015,482
usual-usd0,stable,1,8193521,5541141,18.178,49.494,0.2686,396
origin-dollar,stable,1,5577449,0,5.837,0.000,1.0000,41
