group,n,med_reward_before,med_reward_after,med_pool_d90,med_protocol_d90,med_excess_d30,med_excess_d90,share_excess_negative_90d
start,50,0.00,1.09,19.5,6.6,5.8,-0.6,0.52
start aave-v3,8,0.00,1.07,-56.3,-38.3,-26.3,-18.0,0.63
start euler-v2,8,0.00,1.07,50.5,54.8,34.2,-4.3,0.63
start fluid-lending,3,0.00,1.14,49.4,40.4,11.4,9.0,0.33
start moonwell-lending,4,0.00,1.11,39.2,28.9,-11.7,10.3,0.25
start morpho-blue,27,0.00,1.09,0.4,6.6,5.8,-0.6,0.52
stop,41,1.89,0.41,-12.5,1.1,-6.0,-7.4,0.56
stop euler-v2,4,1.71,0.34,3.6,11.0,75.6,-7.4,0.75
stop fluid-lending,9,2.00,0.47,-12.5,-9.0,-14.1,-8.3,0.67
stop moonwell-lending,13,1.89,0.41,-47.4,-25.4,-14.0,-24.3,0.69
stop morpho-blue,14,2.20,0.31,188.2,25.0,75.8,128.7,0.29
