project,month,days,fees,revenue,holders_rev,supply_side_rev,protocol_rev
aave-v3,2023-06,30,2848040,386292,0,2461746,386292
aave-v3,2023-07,31,3210264,408069,0,2802194,408069
aave-v3,2023-08,31,4361528,536716,0,3824806,536716
aave-v3,2023-09,30,3719293,490574,0,3228710,490574
aave-v3,2023-10,31,5239861,679986,0,4559871,679986
aave-v3,2023-11,30,7471723,958135,0,6513601,958135
aave-v3,2023-12,31,11021289,1427976,0,9593297,1427976
aave-v3,2024-01,31,13139970,1697932,0,11442041,1697932
aave-v3,2024-02,29,15259172,1944273,0,13314900,1944273
aave-v3,2024-03,31,33796048,4050939,0,29745104,4050939
aave-v3,2024-04,30,31536036,4148789,0,27387247,4148789
aave-v3,2024-05,31,26463905,3775870,0,22688053,3775870
aave-v3,2024-06,30,36857999,5682158,0,31175840,5682158
aave-v3,2024-07,31,33849274,4886450,0,28962827,4886450
aave-v3,2024-08,31,39934025,5236914,0,34697122,5236914
aave-v3,2024-09,30,23628216,3577849,0,20050360,3577849
aave-v3,2024-10,30,30529192,4329073,0,26200115,4329073
aave-v3,2024-11,30,48625674,6877381,0,41748280,6877381
aave-v3,2024-12,31,91575592,12536561,0,79039029,12536561
aave-v3,2025-01,31,77427537,10355920,0,67071634,10355920
aave-v3,2025-02,28,70183954,9134360,0,61049594,9134360
aave-v3,2025-03,31,43173483,6247076,0,36926410,6247076
aave-v3,2025-04,30,37491928,5202349,3030637,32289569,5202349
aave-v3,2025-05,31,45764370,6471160,4467515,39293214,6471160
aave-v3,2025-06,30,54582673,7713867,4063855,46868786,7713867
aave-v3,2025-07,31,75070467,10635214,3659464,64435254,10635214
aave-v3,2025-08,31,107753988,15264443,3893658,92489552,15264443
aave-v3,2025-09,30,113032137,15335717,3852694,97696416,15335717
aave-v3,2025-10,31,114663890,15012641,3807209,99651252,15012641
aave-v3,2025-11,30,95782744,12011840,3288105,83770913,12011840
aave-v3,2025-12,31,70140245,8675051,2735258,61465178,8675051
aave-v3,2026-01,31,80861986,10072762,2844382,70789218,10072762
aave-v3,2026-02,28,68890470,8644900,413512,60245558,8644900
aave-v3,2026-03,31,47350166,6201318,6155965,41148913,6201318
aave-v3,2026-04,30,63078118,8201577,20188,54876403,8201577
aave-v3,2026-05,31,51827230,6479702,135368,45347599,6479702
aave-v3,2026-06,30,39812574,4933720,576548,34878857,4933720
aave-v3,2026-07,31,29051259,3777704,0,25273512,3777704
aave-v3,2026-08,31,32386035,4423235,0,27962807,4423235
compound-v3,2025-02,18,2224136,0,0,2224136,0
compound-v3,2025-03,31,3126719,0,0,3126719,0
compound-v3,2025-04,30,2593628,0,0,2593628,0
compound-v3,2025-05,31,2981084,0,0,2981084,0
compound-v3,2025-06,30,3074467,0,0,3074467,0
compound-v3,2025-07,31,4600104,0,0,4600104,0
compound-v3,2025-08,31,3991858,0,0,3991858,0
compound-v3,2025-09,30,4079581,0,0,4079581,0
compound-v3,2025-10,31,3807052,0,0,3807052,0
compound-v3,2025-11,30,2988007,0,0,2988007,0
compound-v3,2025-12,31,2602246,0,0,2602246,0
compound-v3,2026-01,31,2676997,0,0,2676997,0
compound-v3,2026-02,28,1468925,0,0,1468925,0
compound-v3,2026-03,31,1472023,0,0,1472023,0
compound-v3,2026-04,30,1788662,0,0,1788662,0
compound-v3,2026-05,31,1821272,19702,0,1801572,19702
compound-v3,2026-06,30,1590264,75325,0,1514941,75325
compound-v3,2026-07,31,1804022,112265,0,1691741,112265
compound-v3,2026-08,31,2142174,180260,0,1961922,180260
sparklend,2024-07,24,6399059,58096,0,6340958,58096
sparklend,2024-08,31,9829270,313918,0,9515350,313918
sparklend,2024-09,30,6672738,72405,0,6600337,72405
sparklend,2024-10,31,6456437,70422,0,6386015,70422
sparklend,2024-11,30,9977870,99522,0,9878345,99522
sparklend,2024-12,31,18596707,135017,0,18461689,135017
sparklend,2025-01,31,14603809,108576,0,14495225,108576
sparklend,2025-02,28,9464781,118184,0,9346597,118184
sparklend,2025-03,31,6546499,86076,0,6460423,86076
sparklend,2025-04,30,6165792,205296,0,5960495,205296
sparklend,2025-05,31,5240706,89761,0,5150948,89761
sparklend,2025-06,30,5168099,287097,0,4881001,287097
sparklend,2025-07,31,6897341,588223,0,6309123,588223
sparklend,2025-08,31,7638691,653499,0,6985193,653499
sparklend,2025-09,30,7227841,625879,0,6601962,625879
sparklend,2025-10,31,9583290,677782,0,8905511,677782
sparklend,2025-11,30,6636420,452234,0,6184181,452234
sparklend,2025-12,31,4241481,262507,0,3978965,262507
sparklend,2026-01,31,4803631,318455,0,4485172,318455
sparklend,2026-02,28,3671317,257254,0,3414059,257254
sparklend,2026-03,31,2865898,176210,487032,2689689,176210
sparklend,2026-04,30,3739971,202479,383472,3537460,202479
sparklend,2026-05,31,4696269,236863,325189,4459386,236863
sparklend,2026-06,30,4547207,361401,600282,4185784,361401
sparklend,2026-07,31,4842293,418292,192897,4423998,418292
sparklend,2026-08,31,5051418,430266,892383,4621155,430266
morpho-blue,2024-02,15,98602,0,0,98602,0
morpho-blue,2024-03,31,940461,0,0,940461,0
morpho-blue,2024-04,30,6698319,0,0,6698319,0
morpho-blue,2024-05,31,5002338,0,0,5002338,0
morpho-blue,2024-06,30,5594876,0,0,5594876,0
morpho-blue,2024-07,31,4567405,0,0,4567405,0
morpho-blue,2024-08,31,4036182,0,0,4036182,0
morpho-blue,2024-09,30,2735512,0,0,2735512,0
morpho-blue,2024-10,31,2638407,0,0,2638407,0
morpho-blue,2024-11,30,5933055,0,0,5933055,0
morpho-blue,2024-12,31,11805155,0,0,11805155,0
morpho-blue,2025-01,31,10925567,0,0,10925567,0
morpho-blue,2025-02,28,10041446,0,0,10041446,0
morpho-blue,2025-03,31,7093291,0,0,7093291,0
morpho-blue,2025-04,30,5623976,0,0,5623976,0
morpho-blue,2025-05,31,6348073,0,0,6348073,0
morpho-blue,2025-06,30,8119317,0,0,8119317,0
morpho-blue,2025-07,31,12155427,0,0,12155427,0
morpho-blue,2025-08,31,19058274,0,0,19058274,0
morpho-blue,2025-09,30,22810859,0,0,22810859,0
morpho-blue,2025-10,31,24149110,0,0,24149110,0
morpho-blue,2025-11,30,22933674,0,0,22933674,0
morpho-blue,2025-12,31,12251372,0,0,12251372,0
morpho-blue,2026-01,31,15646433,0,0,15646433,0
morpho-blue,2026-02,28,17736154,0,0,17736154,0
morpho-blue,2026-03,31,11341144,0,0,11341144,0
morpho-blue,2026-04,30,14551230,0,0,14551230,0
morpho-blue,2026-05,31,15284204,0,0,15284204,0
morpho-blue,2026-06,30,18769112,0,0,18769112,0
morpho-blue,2026-07,31,14886554,0,0,14886554,0
morpho-blue,2026-08,31,18420464,0,0,18420464,0
venus-core-pool,2023-08,19,1919836,557287,557287,1362547,0
venus-core-pool,2023-09,30,2209908,1226480,1226480,983428,0
venus-core-pool,2023-10,31,2598009,1318797,1318797,1279212,0
venus-core-pool,2023-11,30,2465800,373261,373261,2092533,0
venus-core-pool,2023-12,31,10903665,2307945,2307945,8595721,0
venus-core-pool,2024-01,31,10673339,2276585,2276585,8396756,0
venus-core-pool,2024-02,29,10166859,2063213,2063213,8103642,0
venus-core-pool,2024-03,31,11161893,1840627,1840627,9321270,0
venus-core-pool,2024-04,30,14716599,3210342,3210342,11506259,0
venus-core-pool,2024-05,31,5751542,972597,972597,4778945,0
venus-core-pool,2024-06,30,5953628,1025673,1025673,4927954,0
venus-core-pool,2024-07,31,3330234,400474,400474,2929760,0
venus-core-pool,2024-08,31,3828597,576348,576348,3252242,0
venus-core-pool,2024-09,30,3805265,600203,600203,3205062,0
venus-core-pool,2024-10,31,4678584,736995,736995,3941587,0
venus-core-pool,2024-11,30,6856244,1098321,1098321,5757925,0
venus-core-pool,2024-12,31,8186163,1488106,1488106,6698053,0
venus-core-pool,2025-01,31,7016278,1286749,1286749,5729526,0
venus-core-pool,2025-02,28,4159031,590461,590461,3568569,0
venus-core-pool,2025-03,31,4402144,727026,727026,3675120,0
venus-core-pool,2025-04,30,3401332,531968,531968,2869365,0
venus-core-pool,2025-05,31,2693390,350601,350601,2342787,0
venus-core-pool,2025-06,30,2081440,300830,300830,1780593,0
venus-core-pool,2025-07,31,2490403,390702,390702,2099702,0
venus-core-pool,2025-08,31,2713147,382857,382857,2330280,0
venus-core-pool,2025-09,30,2848036,426840,426806,2421233,127
venus-core-pool,2025-10,31,3164035,602128,601760,2562259,528
venus-core-pool,2025-11,30,2097484,387082,387082,1710387,0
venus-core-pool,2025-12,31,1711284,279247,111696,1432024,167550
venus-core-pool,2026-01,31,1868205,281062,112422,1587136,168630
venus-core-pool,2026-02,28,1101531,161728,64684,939793,97027
venus-core-pool,2026-03,31,1121741,171838,68731,949892,103096
venus-core-pool,2026-04,30,949955,146152,58455,803800,87687
venus-core-pool,2026-05,31,926179,160491,60823,765686,99671
venus-core-pool,2026-06,30,1016985,350760,98977,666222,251771
venus-core-pool,2026-07,31,856382,200198,73475,656192,126737
venus-core-pool,2026-08,31,1031574,345853,109952,685706,235909
fluid-lending,2024-02,7,6129,990,0,6129,0
fluid-lending,2024-03,31,604534,2475,0,582795,0
fluid-lending,2024-04,30,3952111,69631,0,3855005,51843
fluid-lending,2024-05,31,3785545,319314,0,3200162,295592
fluid-lending,2024-06,30,3751646,322053,0,3291004,310009
fluid-lending,2024-07,31,1585091,165373,0,1295591,149166
fluid-lending,2024-08,31,1145756,110154,0,1009873,107287
fluid-lending,2024-09,30,1011258,101950,0,850689,94826
fluid-lending,2024-10,31,1195066,123300,0,1071768,123300
fluid-lending,2024-11,30,2349690,334115,0,1953335,326819
fluid-lending,2024-12,31,3973410,568423,0,3404981,568423
fluid-lending,2025-01,31,4010852,430392,0,3356464,405128
fluid-lending,2025-02,28,3228031,459019,0,2769017,459019
fluid-lending,2025-03,31,2196782,213858,0,1982918,213858
fluid-lending,2025-04,30,1836337,207020,0,1629303,207020
fluid-lending,2025-05,31,4381562,340069,0,4041495,340069
fluid-lending,2025-06,30,4207197,367531,0,3839678,367531
fluid-lending,2025-07,31,4125921,560565,0,3565356,560565
fluid-lending,2025-08,31,5575804,672553,0,4903252,672553
fluid-lending,2025-09,30,6254614,967603,0,5287007,967603
fluid-lending,2025-10,31,8734804,1058161,1650393,7676632,1058161
fluid-lending,2025-11,30,7496852,889808,892451,6607051,889808
fluid-lending,2025-12,31,5366650,725449,669961,4641195,725449
fluid-lending,2026-01,31,5101906,821420,729271,4280479,821420
fluid-lending,2026-02,28,3121325,576679,319207,2544639,576679
fluid-lending,2026-03,31,2765345,445100,484025,2320240,445100
fluid-lending,2026-04,30,3165847,492542,0,2673307,492542
fluid-lending,2026-05,31,3044015,412770,0,2631244,412770
fluid-lending,2026-06,30,2976355,372590,0,2603761,372590
fluid-lending,2026-07,31,3267646,360441,0,2907209,360441
fluid-lending,2026-08,31,3284157,388962,0,2895190,388962
euler-v2,2024-08,2,11,1,0,10,1
euler-v2,2024-09,30,2092,176,0,1915,176
euler-v2,2024-10,31,11225,869,95,10352,869
euler-v2,2024-11,30,73478,6301,3374,67176,6301
euler-v2,2024-12,31,409798,26415,18712,383383,26415
euler-v2,2025-01,31,1055918,43657,39074,1012261,43657
euler-v2,2025-02,28,898255,38872,27728,859384,38872
euler-v2,2025-03,31,1902940,86327,64265,1816625,86327
euler-v2,2025-04,30,2454285,120181,98852,2334087,120181
euler-v2,2025-05,31,4383468,213598,173564,4169884,213598
euler-v2,2025-06,30,5080274,217224,165730,4863052,217224
euler-v2,2025-07,31,7247310,301095,238619,6946226,301095
euler-v2,2025-08,31,8479473,345778,243452,8133692,345778
euler-v2,2025-09,30,9875314,643722,495289,9231577,643722
euler-v2,2025-10,31,11612861,818808,712649,10794054,818808
euler-v2,2025-11,30,8547831,534021,360064,8013802,534021
euler-v2,2025-12,31,4983098,303777,169496,4679295,303777
euler-v2,2026-01,31,3928885,233523,115955,3695369,233523
euler-v2,2026-02,28,2815175,160464,130983,2654599,160464
euler-v2,2026-03,31,2679023,153394,88310,2525221,153394
euler-v2,2026-04,30,2716086,155335,46891,2560571,155335
euler-v2,2026-05,31,2335444,99753,0,2235396,99753
euler-v2,2026-06,30,2069923,62281,0,2007757,62281
euler-v2,2026-07,31,2195210,68053,0,2127086,68053
euler-v2,2026-08,22,1634857,51840,1,1583016,51840
moonwell-lending,2024-06,30,860708,175622,10226,685089,165396
moonwell-lending,2024-07,31,1042104,259678,0,782428,259678
moonwell-lending,2024-08,31,974092,266488,0,707600,266488
moonwell-lending,2024-09,30,707767,178208,0,529550,178208
moonwell-lending,2024-10,31,865251,199497,0,665754,199497
moonwell-lending,2024-11,30,1395829,241221,0,1154607,241221
moonwell-lending,2024-12,31,2063508,377006,0,1686505,377006
moonwell-lending,2025-01,31,1734267,331156,0,1403116,331156
moonwell-lending,2025-02,28,1699004,418846,0,1280161,418846
moonwell-lending,2025-03,31,670330,136928,0,533403,136928
moonwell-lending,2025-04,30,744170,166006,0,578169,166006
moonwell-lending,2025-05,31,737849,124028,0,613828,124028
moonwell-lending,2025-06,30,795158,132761,0,662398,132761
moonwell-lending,2025-07,31,821717,121863,0,699854,121863
moonwell-lending,2025-08,31,1336844,266511,0,1070339,266511
moonwell-lending,2025-09,30,953291,169221,0,784076,169221
moonwell-lending,2025-10,31,2162143,557294,0,1604850,557294
moonwell-lending,2025-11,30,836971,180067,0,656904,180067
moonwell-lending,2025-12,31,312284,60901,0,251376,60901
moonwell-lending,2026-01,31,412097,99793,0,312306,99793
moonwell-lending,2026-02,28,1285580,356428,0,929150,356428
moonwell-lending,2026-03,31,219214,55774,0,163430,55774
moonwell-lending,2026-04,30,196096,50486,0,145616,50486
moonwell-lending,2026-05,31,130921,29047,0,101873,29047
moonwell-lending,2026-06,30,201182,44796,0,156380,44796
moonwell-lending,2026-07,31,145894,23361,0,122524,23361
moonwell-lending,2026-08,31,405604,68027,0,337582,68027
