curator,vaults,aum_usd,net_apy,net_apy_ex_rewards,reward_share,fee_pct,avg_lltv,pt_share,bluechip_share,other_share,utilization,market_hhi,markets_per_vault
Gauntlet,23,581262831,3.90,3.90,0.000,1.6,0.866,0.000,0.911,0.089,0.859,0.802,5.6
Steakhouse Financial,14,401666009,3.53,3.53,0.000,12.0,0.873,0.046,0.846,0.107,0.883,0.596,7.6
SparkDAO,2,310223003,4.00,4.00,0.000,9.8,0.860,0.000,1.000,0.000,0.901,0.994,2.0
без куратора,15,128493566,4.18,3.56,0.147,4.3,0.857,0.015,0.838,0.146,0.862,0.532,3.9
Felix,3,28931987,2.83,2.83,0.000,10.0,0.777,0.000,0.000,1.000,0.782,0.702,4.4
Hakutora,2,22741599,4.02,4.02,0.000,15.0,0.860,0.000,1.000,0.000,0.893,1.000,1.0
Yearn,4,21245364,5.73,5.47,0.046,3.8,0.870,0.082,0.524,0.394,0.899,0.445,5.7
Pangolins,1,11849045,3.97,3.97,0.000,10.0,0.860,0.000,1.000,0.000,0.901,1.000,1.0
Anthias Labs,3,11221846,2.78,2.68,0.036,15.0,0.889,0.000,1.000,0.000,0.890,0.527,4.5
MEV Capital,2,6665248,3.05,3.05,0.000,10.0,0.943,0.000,0.683,0.317,0.876,0.783,4.0
Clearstar,2,4386668,1.24,1.24,0.000,7.3,0.862,0.018,0.000,0.982,0.909,0.920,2.5
Hyperithm,1,1701853,7.30,7.30,0.000,10.0,0.770,0.000,0.000,1.000,0.896,0.703,2.0
