vault,curator,chain,days,aum_now_usd,aum_year_ago_usd,aum_growth_pct,median_apy,iqr_apy,p95_apy,days_over_20pct,reward_days_share,median_reward_pp
Gauntlet USDC Prime,Gauntlet,8453,366,419248377,13015557,3121,4.40,1.16,6.75,0,0.000,0.000
Spark USDC Vault,SparkDAO,8453,366,303948497,707804650,-57,3.93,1.07,6.21,0,0.000,0.000
Steakhouse USDC,Steakhouse Financial,8453,366,130931024,20506065,538,3.29,0.91,5.25,0,0.025,0.000
Steakhouse USDT,Steakhouse Financial,1,366,87022773,118206659,-26,2.66,1.00,8.03,8,0.016,0.000
Steakhouse USDC,Steakhouse Financial,1,366,69211355,435465506,-84,3.40,0.97,5.72,6,0.016,0.000
Grove x Steakhouse USDC High Yield,без куратора,8453,340,62116000,1,NA,4.36,1.04,6.90,0,0.000,0.000
Steakhouse ETH,Steakhouse Financial,1,366,28649447,90188482,-68,1.61,0.43,4.38,6,0.000,0.000
Gauntlet USDC Prime,Gauntlet,1,366,26225525,127993732,-80,3.48,1.16,5.98,7,0.016,0.000
Smokehouse USDT,Steakhouse Financial,1,366,23883995,37871303,-37,3.42,1.35,10.31,12,0.016,0.000
Vault Bridge WBTC,Gauntlet,1,366,23624938,73615184,-68,0.01,0.02,0.10,2,0.000,0.000
Steakhouse Prime USDC,Steakhouse Financial,8453,366,20498238,148552,13699,4.23,1.31,6.94,0,0.000,0.000
Metronome msUSD Vault,Gauntlet,1,366,19510140,5910099,230,2.43,2.19,6.31,2,0.000,0.000
Hakutora USDC,Hakutora,1,366,17011649,45397206,-63,2.98,0.95,4.66,4,0.016,0.000
Vault Bridge WETH,Gauntlet,1,366,16778529,65461529,-74,1.52,0.53,4.33,2,0.000,0.000
Felix HYPE,Felix,999,366,16166193,130474838,-88,0.78,0.87,6.20,6,0.000,0.000
Smokehouse USDC,Steakhouse Financial,1,366,13545567,174098065,-92,4.83,1.10,8.27,8,0.016,0.000
Vault Bridge USDC,Steakhouse Financial,1,366,12417142,123679315,-90,3.31,1.11,6.20,6,0.016,0.000
Felix USDC (Frontier),без куратора,999,291,11870382,0,NA,5.82,1.65,10.87,2,0.072,0.000
Pangolins USDC,Pangolins,8453,309,11849088,100,NA,3.95,0.73,6.05,0,0.000,0.000
Re7 USDC,без куратора,480,366,10137270,43124710,-76,6.22,5.08,75.63,43,0.545,4.232
SwissBorg Morpho USDC,Gauntlet,1,366,9327586,10140629,-8,3.16,1.03,5.18,4,0.016,0.000
Re7 WLD,без куратора,480,366,9163733,15054606,-39,1.97,2.37,49.51,21,0.545,1.884
Gauntlet USDC RWA,Gauntlet,1,366,8983325,5018829,79,5.44,1.45,14.75,17,0.016,0.000
Yearn OG USDC,Yearn,1,366,8882900,882932,906,4.64,2.86,10.53,9,0.263,0.000
Metronome msETH Vault,Gauntlet,8453,366,7876697,13606979,-42,1.55,0.90,4.26,6,0.000,0.000
Felix USDC,Felix,999,366,7870495,389677,1920,5.41,2.45,38.35,51,0.060,0.000
Gauntlet WETH Prime,Gauntlet,1,366,7724419,68109441,-89,1.62,0.45,4.78,4,0.000,0.000
WETH ARM Vault,без куратора,1,242,7659418,0,NA,1.61,0.42,3.21,0,0.000,0.000
Gauntlet USDT Frontier,Gauntlet,1,366,7576502,505269,1399,3.39,1.61,9.23,7,0.016,0.000
Yearn USDC,Yearn,1,366,7306415,12010517,-39,3.94,1.44,8.97,5,0.222,0.000
