vault,curator,chain,asset,aum_usd,net_apy,net_apy_ex_rewards,fee,avg_lltv,pt_share,bluechip_share,markets,hhi,utilization
Gauntlet USDC Prime,Gauntlet,8453,USDC,419246757,4.424,4.424,0.00,0.8594,0.0000,1.0000,6,0.8474,0.9010
Spark USDC Vault,SparkDAO,8453,USDC,303947318,3.966,3.966,10.00,0.8600,0.0000,1.0000,2,1.0000,0.9010
Adpend USDC,нет,1,USDC,301797905,5359.815,5359.815,50.00,0.9150,0.0000,0.0000,3,1.0000,1.0000
1337 USDC,нет,1,USDC,160980624,297995.799,297995.799,0.00,0.9150,0.0000,0.0000,2,1.0000,1.0000
Steakhouse USDC,Steakhouse Financial,8453,USDC,130930464,3.297,3.297,25.00,0.8593,0.0000,1.0000,5,0.9172,0.9010
Steakhouse USDT,Steakhouse Financial,1,USDT,87023062,2.385,2.385,5.00,0.8655,0.0000,0.9059,10,0.2602,0.8396
Steakhouse USDC,Steakhouse Financial,1,USDC,69211032,5.188,5.188,5.00,0.8696,0.0000,0.8252,10,0.2917,0.9098
Grove x Steakhouse USDC High Yield,нет,8453,USDC,62115719,4.464,4.464,0.00,0.8573,0.0000,1.0000,5,0.4523,0.9012
Steakhouse ETH,Steakhouse Financial,1,WETH,28628362,1.517,1.517,5.00,0.9643,0.0000,1.0000,3,0.9390,0.8613
Gauntlet USDC Prime,Gauntlet,1,USDC,26225429,5.182,5.182,5.00,0.8600,0.0000,1.0000,7,0.3258,0.9099
Smokehouse USDT,Steakhouse Financial,1,USDT,23884066,4.003,4.003,10.00,0.8954,0.5087,0.3572,15,0.2000,0.8711
Vault Bridge WBTC,Gauntlet,1,WBTC,23622740,0.000,0.000,5.00,0.9450,0.0000,1.0000,1,1.0000,0.0011
Steakhouse Prime USDC,Steakhouse Financial,8453,USDC,20498149,4.193,4.193,5.00,0.8576,0.0000,1.0000,5,0.9049,0.9010
Metronome msUSD Vault,Gauntlet,1,msUSD,19763143,0.184,0.184,10.00,0.9150,0.0000,0.0000,3,0.9362,0.9340
Hakutora USDC,Hakutora,1,USDC,17011570,4.657,4.657,15.00,0.8600,0.0000,1.0000,1,1.0000,0.9102
Vault Bridge WETH,Gauntlet,1,WETH,16766181,1.335,1.335,5.00,0.9650,0.0000,1.0000,4,0.9987,0.8625
Felix HYPE,Felix,999,WHYPE,16156543,1.037,1.037,10.00,0.8600,0.0001,0.0000,3,0.9511,0.7606
Smokehouse USDC,Steakhouse Financial,1,USDC,13545502,5.700,5.700,10.00,0.9006,0.2997,0.0377,13,0.2143,0.8991
Vault Bridge USDC,Steakhouse Financial,1,USDC,12417084,5.169,5.169,5.00,0.8600,0.0000,1.0000,2,0.8644,0.9097
Felix USDC (Frontier),нет,999,USDC,11870325,5.736,5.736,10.00,0.7700,0.0000,0.0000,3,0.5057,0.8904
Pangolins USDC,Pangolins,8453,USDC,11849045,3.966,3.966,10.00,0.8600,0.0000,1.0000,1,1.0000,0.9010
Re7 USDC,нет,480,USDC,10137232,6.282,1.474,10.00,0.8447,0.0000,0.8303,3,0.3740,0.8996
SwissBorg Morpho USDC,Gauntlet,1,USDC,9327551,4.930,4.930,5.00,0.8600,0.0000,1.0000,3,0.3795,0.9100
Re7 WLD,нет,480,WLD,9154037,1.837,0.001,10.00,0.8600,0.0000,1.0000,2,0.8624,0.8778
Gauntlet USDC RWA,Gauntlet,1,USDC,8983282,6.730,6.730,0.00,0.7876,0.0000,0.1954,7,0.6853,0.9086
Yearn OG USDC,Yearn,1,USDC,8882868,7.639,7.009,5.00,0.8823,0.1969,0.0052,7,0.2732,0.9060
Metronome msETH Vault,Gauntlet,8453,msETH,7933224,0.038,0.038,5.00,0.9450,0.0000,0.0047,2,0.9906,0.9995
Felix USDC,Felix,999,USDC,7870462,4.855,4.855,10.00,0.6934,0.0011,0.0000,7,0.3627,0.7840
Gauntlet WETH Prime,Gauntlet,1,WETH,7718734,1.493,1.493,5.00,0.9621,0.0000,1.0000,4,0.7413,0.8547
WETH ARM Vault,нет,1,WETH,7653781,1.490,1.490,5.00,0.9619,0.0000,1.0000,4,0.7336,0.8548
Gauntlet USDT Frontier,Gauntlet,1,USDT,7576531,2.363,2.363,5.00,0.8826,0.0000,0.7648,11,0.2759,0.8460
Yearn USDC,Yearn,1,USDC,7306389,5.479,5.479,0.00,0.8600,0.0000,1.0000,5,0.5857,0.9100
Steakhouse Prime USDC,Steakhouse Financial,747474,vbUSDC,6676069,2.448,2.448,10.00,0.8600,0.0000,0.0000,2,0.9956,0.7799
Spark Blue Chip USDC Vault,SparkDAO,1,USDC,6275686,5.444,5.444,1.00,0.8600,0.0000,1.0000,2,0.7278,0.9105
Not Gauntlet,нет,42161,USDC,6266109,297995.774,297995.774,0.00,0.9150,0.0000,0.0000,2,1.0000,1.0000
Moonwell Flagship USDC,Anthias Labs,8453,USDC,6055647,3.894,3.807,15.00,0.8600,0.0000,1.0000,4,0.6008,0.9014
Hakutora USDT,Hakutora,1,USDT,5730030,2.122,2.122,15.00,0.8600,0.0000,1.0000,1,1.0000,0.8422
Re7 WETH,нет,480,WETH,5311511,2.565,0.024,10.00,0.9250,0.0000,1.0000,2,0.5550,0.3143
Felix USDT0,Felix,999,USDT0,4904982,5.461,5.461,10.00,0.6359,0.0000,0.0000,5,0.4265,0.8465
MEV Capital wETH,MEV Capital,1,WETH,4550182,1.442,1.442,10.00,0.9650,0.0000,1.0000,3,0.9982,0.8627
Metronome msETH Vault,Gauntlet,1,msETH,4546816,7.561,7.561,5.00,0.9227,0.0000,0.0000,3,0.6186,0.9199
Gauntlet USDT Prime,Gauntlet,1,USDT,4534655,2.370,2.370,5.00,0.8600,0.0000,0.9999,8,0.4308,0.8385
Moonwell Flagship ETH,Anthias Labs,8453,WETH,3920118,1.346,1.229,15.00,0.9441,0.0000,1.0000,5,0.4801,0.8961
Safe x Steakhouse USDC,нет,1,USDC,3837330,4.928,4.928,10.00,0.8600,0.0000,1.0000,3,0.4830,0.9102
Vault Bridge USDT,Gauntlet,1,USDT,3811900,2.374,2.374,5.00,0.8726,0.0000,0.8800,5,0.4109,0.8418
