project,month,days,net_tvl,borrowed,supply,util
aave-v3,2023-06,30,1682935238,940432491,2623367729,0.3585
aave-v3,2023-07,31,2030279503,1077322432,3107601935,0.3467
aave-v3,2023-08,31,2092395332,1133063274,3225458606,0.3513
aave-v3,2023-09,30,2271457718,1293880812,3565338530,0.3629
aave-v3,2023-10,31,2666762718,1467289803,4134052521,0.3549
aave-v3,2023-11,30,3279852493,1788468748,5068321241,0.3529
aave-v3,2023-12,31,3935610390,2250057757,6185668147,0.3638
aave-v3,2024-01,31,4809607657,2646359155,7455966811,0.3549
aave-v3,2024-02,29,5707352940,3266816503,8974169443,0.3640
aave-v3,2024-03,31,8428978031,4751972307,13180950338,0.3605
aave-v3,2024-04,30,8636081545,4932992689,13569074234,0.3635
aave-v3,2024-05,31,9498953336,5384749469,14883702805,0.3618
aave-v3,2024-06,30,10811695596,7069099961,17880795557,0.3953
aave-v3,2024-07,31,11060339557,7543235370,18603574927,0.4055
aave-v3,2024-08,31,10423565659,7022829084,17446394743,0.4025
aave-v3,2024-09,30,10573595769,7248809541,17822405310,0.4067
aave-v3,2024-10,31,11745884940,8279565143,20025450083,0.4135
aave-v3,2024-11,30,15809025610,10704662513,26513688122,0.4037
aave-v3,2024-12,31,20304367057,14516397727,34820764784,0.4169
aave-v3,2025-01,31,20569806300,14475091078,35044897378,0.4130
aave-v3,2025-02,28,19280536450,12868982951,32149519401,0.4003
aave-v3,2025-03,31,17610087329,11130695250,28740782579,0.3873
aave-v3,2025-04,30,17744972089,10706898428,28451870517,0.3763
aave-v3,2025-05,31,22954665656,14537021507,37491687163,0.3877
aave-v3,2025-06,30,24642718809,16341751716,40984470526,0.3987
aave-v3,2025-07,31,29663071461,20292697647,49955769108,0.4062
aave-v3,2025-08,31,37098646499,26867708481,63966354979,0.4200
aave-v3,2025-09,30,40536843225,28993158093,69530001319,0.4170
aave-v3,2025-10,31,40205501392,27199367096,67404868488,0.4035
aave-v3,2025-11,30,31347460299,22620449895,53967910194,0.4191
aave-v3,2025-12,31,30793850345,21490132296,52283982641,0.4110
aave-v3,2026-01,31,32554389299,23019414135,55573803434,0.4142
aave-v3,2026-02,28,25949871317,17913386727,43863258044,0.4084
aave-v3,2026-03,31,24494413971,16901578356,41395992326,0.4083
aave-v3,2026-04,30,20900433361,16001745358,36902178720,0.4336
aave-v3,2026-05,31,13799929337,11226504984,25026434322,0.4486
aave-v3,2026-06,30,12088535465,9833804383,21922339848,0.4486
aave-v3,2026-07,31,13308966052,10407601317,23716567369,0.4388
aave-v3,2026-08,31,15215111387,11489283375,26704394762,0.4302
compound-v3,2023-06,30,523842260,233341268,757183528,0.3082
compound-v3,2023-07,31,872552601,383637269,1256189870,0.3054
compound-v3,2023-08,31,819298636,401686148,1220984784,0.3290
compound-v3,2023-09,30,734531846,355867720,1090399566,0.3264
compound-v3,2023-10,31,847444124,385701909,1233146033,0.3128
compound-v3,2023-11,30,1057661503,442144967,1499806470,0.2948
compound-v3,2023-12,31,1190000577,507510271,1697510848,0.2990
compound-v3,2024-01,31,1181268964,501957349,1683226314,0.2982
compound-v3,2024-02,29,1371861690,549512421,1921374110,0.2860
compound-v3,2024-03,31,1757867836,667178422,2425046259,0.2751
compound-v3,2024-04,30,1575787935,628624972,2204412907,0.2852
compound-v3,2024-05,31,1472709221,626053910,2098763131,0.2983
compound-v3,2024-06,30,1485132530,677877220,2163009750,0.3134
compound-v3,2024-07,31,1472517923,619101110,2091619033,0.2960
compound-v3,2024-08,31,1288908381,557239205,1846147586,0.3018
compound-v3,2024-09,30,1372930406,625752731,1998683138,0.3131
compound-v3,2024-10,31,1402981385,660496262,2063477648,0.3201
compound-v3,2024-11,30,1767845800,747192048,2515037848,0.2971
compound-v3,2024-12,31,2180061526,854250755,3034312281,0.2815
compound-v3,2025-01,31,2156559371,904304975,3060864346,0.2954
compound-v3,2025-02,28,2048275232,900264665,2948539896,0.3053
compound-v3,2025-03,31,1822625643,786440631,2609066274,0.3014
compound-v3,2025-04,30,1737963585,728089106,2466052691,0.2952
compound-v3,2025-05,31,2057041845,861112475,2918154320,0.2951
compound-v3,2025-06,30,2067094440,876659910,2943754350,0.2978
compound-v3,2025-07,31,2293565328,970666681,3264232009,0.2974
compound-v3,2025-08,31,2314695158,1005906470,3320601628,0.3029
compound-v3,2025-09,30,2280683798,1049045995,3329729794,0.3151
compound-v3,2025-10,31,2248717720,1071228703,3319946424,0.3227
compound-v3,2025-11,30,1713709901,869637407,2583347308,0.3366
compound-v3,2025-12,31,1645116864,833108802,2478225666,0.3362
compound-v3,2026-01,31,1681493348,836498634,2517991982,0.3322
compound-v3,2026-02,28,1275456743,590156125,1865612869,0.3163
compound-v3,2026-03,31,1296261617,535491217,1831752834,0.2923
compound-v3,2026-04,30,1343341920,573066727,1916408647,0.2990
compound-v3,2026-05,31,1262733627,584358553,1847092180,0.3164
compound-v3,2026-06,30,1065153066,547336131,1612489197,0.3394
compound-v3,2026-07,31,1136675719,558934737,1695610455,0.3296
compound-v3,2026-08,31,1231666074,580373345,1812039419,0.3203
sparklend,2023-06,30,12711663,5361473,18073136,0.2967
sparklend,2023-07,31,31605771,14060770,45666542,0.3079
sparklend,2023-08,31,312473366,151831738,464305105,0.3270
sparklend,2023-09,30,417897799,219831332,637729131,0.3447
sparklend,2023-10,31,493151979,248182813,741334791,0.3348
sparklend,2023-11,30,873139571,528405590,1401545160,0.3770
sparklend,2023-12,31,1391099733,841148480,2232248213,0.3768
sparklend,2024-01,31,1784831017,1126224289,2911055305,0.3869
sparklend,2024-02,29,2701939291,1300265280,4002204571,0.3249
sparklend,2024-03,31,3355192429,1640479570,4995672000,0.3284
sparklend,2024-04,30,2570769859,1422229832,3992999690,0.3562
sparklend,2024-05,31,2364075878,1203479479,3567555356,0.3373
sparklend,2024-06,30,2890771863,1514200697,4404972560,0.3437
sparklend,2024-07,31,2908004055,1635441920,4543445976,0.3600
sparklend,2024-08,31,2511758831,1554908358,4066667189,0.3824
sparklend,2024-09,30,2314627403,1483191616,3797819019,0.3905
sparklend,2024-10,31,2374226628,1489621899,3863848527,0.3855
sparklend,2024-11,30,3633758656,2185824002,5819582658,0.3756
sparklend,2024-12,31,4684644944,2765221392,7449866336,0.3712
sparklend,2025-01,31,3683016711,2051607703,5734624414,0.3578
sparklend,2025-02,28,3003994060,1719775170,4723769230,0.3641
sparklend,2025-03,31,2378700033,1485438296,3864138329,0.3844
sparklend,2025-04,30,2080105697,1333920070,3414025766,0.3907
sparklend,2025-05,31,2877256403,1487981732,4365238136,0.3409
sparklend,2025-06,30,3310445104,1641849474,4952294577,0.3315
sparklend,2025-07,31,4137735649,2011471984,6149207633,0.3271
sparklend,2025-08,31,5018438515,2252433243,7270871758,0.3098
sparklend,2025-09,30,5271241590,2230098838,7501340428,0.2973
sparklend,2025-10,31,5860202181,2482411032,8342613213,0.2976
sparklend,2025-11,30,4694865873,2016394155,6711260028,0.3004
sparklend,2025-12,31,3331315388,1334470874,4665786262,0.2860
sparklend,2026-01,31,3501562779,1483214756,4984777536,0.2975
sparklend,2026-02,28,2475824001,1284652831,3760476832,0.3416
sparklend,2026-03,31,2084489566,982000678,3066490244,0.3202
sparklend,2026-04,30,2495393759,1201216374,3696610132,0.3250
sparklend,2026-05,31,3371965045,1621808055,4993773100,0.3248
sparklend,2026-06,30,3390879701,1603218381,4994098083,0.3210
sparklend,2026-07,31,3593919188,1780118944,5374038132,0.3312
sparklend,2026-08,31,4037067219,1910818790,5947886008,0.3213
morpho-blue,2024-01,18,24690161,14110335,38800496,0.3637
morpho-blue,2024-02,29,63163664,41750426,104914090,0.3979
morpho-blue,2024-03,31,155203963,92185343,247389306,0.3726
morpho-blue,2024-04,30,596097334,337347185,933444520,0.3614
morpho-blue,2024-05,31,783715821,437109694,1220825515,0.3580
morpho-blue,2024-06,30,1012962282,615204527,1628166809,0.3779
morpho-blue,2024-07,31,1061363627,619207351,1680570978,0.3685
morpho-blue,2024-08,30,999593861,568834994,1568428855,0.3627
morpho-blue,2024-09,27,954692840,560196878,1514889718,0.3698
morpho-blue,2024-10,31,1029327089,606714233,1636041322,0.3708
morpho-blue,2024-11,30,1432273235,853302927,2285576162,0.3733
morpho-blue,2024-12,31,2566096487,1581808558,4147905044,0.3814
morpho-blue,2025-01,31,3382494257,2174422319,5556916576,0.3913
morpho-blue,2025-02,28,3458205282,2128779019,5586984301,0.3810
morpho-blue,2025-03,31,2991141624,1784689723,4775831347,0.3737
morpho-blue,2025-04,30,2651718228,1696235083,4347953311,0.3901
morpho-blue,2025-05,31,3203146622,1749728787,4952875409,0.3533
morpho-blue,2025-06,30,3938856517,2150601030,6089457547,0.3532
morpho-blue,2025-07,31,5062362367,2686058011,7748420378,0.3467
morpho-blue,2025-08,31,6414744307,3258013255,9672757562,0.3368
morpho-blue,2025-09,30,7632510213,4185803413,11818313627,0.3542
morpho-blue,2025-10,31,7502941837,4037789554,11540731392,0.3499
morpho-blue,2025-11,30,6631691271,3479636142,10111327413,0.3441
morpho-blue,2025-12,31,5643891278,3031159112,8675050391,0.3494
morpho-blue,2026-01,31,6410630944,3489384571,9900015515,0.3525
morpho-blue,2026-02,28,5689028955,3153590469,8842619424,0.3566
morpho-blue,2026-03,31,6549488352,3752045465,10301533817,0.3642
morpho-blue,2026-04,30,6961426581,3803106317,10764532898,0.3533
morpho-blue,2026-05,31,7375131893,3807078292,11182210185,0.3405
morpho-blue,2026-06,30,6726951101,3580784343,10307735444,0.3474
morpho-blue,2026-07,31,7265382469,3880758640,11146141109,0.3482
morpho-blue,2026-08,31,8432704192,4471507138,12904211330,0.3465
venus-core-pool,2023-06,30,688126299,473151465,1161277763,0.4074
venus-core-pool,2023-07,31,697206768,510786827,1207993595,0.4228
venus-core-pool,2023-08,31,645566422,536729587,1182296009,0.4540
venus-core-pool,2023-09,30,637693332,338985330,976678662,0.3471
venus-core-pool,2023-10,31,578847728,372290350,951138078,0.3914
venus-core-pool,2023-11,30,638783588,473524391,1112307979,0.4257
venus-core-pool,2023-12,31,781697941,564795011,1346492952,0.4195
venus-core-pool,2024-01,31,943346519,595402015,1538748534,0.3869
venus-core-pool,2024-02,29,1055739527,612825296,1668564823,0.3673
venus-core-pool,2024-03,31,1565019765,760296269,2325316034,0.3270
venus-core-pool,2024-04,30,1644019674,856239357,2500259032,0.3425
venus-core-pool,2024-05,31,1682933922,796382829,2479316751,0.3212
venus-core-pool,2024-06,30,1716834694,830700645,2547535339,0.3261
venus-core-pool,2024-07,31,1585698153,645370466,2231068619,0.2893
venus-core-pool,2024-08,31,1524411923,637997832,2162409755,0.2950
venus-core-pool,2024-09,30,1617938202,619772843,2237711044,0.2770
