project,month,days_t,net_tvl,borrowed,supply,util,days_f,fees,revenue,holders_rev,supply_side_rev,protocol_rev,ann,rev_to_supply,rev_to_borrow,fees_to_borrow,take,passthru,holders_share
aave-v3,2024-01,31,4809607657,2646359155,7455966811,0.3549,31,13139970,1697932,0,11442041,1697932,11.774193548387096,0.26813129010319037,0.7554447007779638,5.846241607367916,12.921886427442375,87.07813640365998,0.0
aave-v3,2024-02,29,5707352940,3266816503,8974169443,0.364,29,15259172,1944273,0,13314900,1944273,12.586206896551724,0.27268286382164436,0.7490785668220714,5.878967970368092,12.741667765459358,87.25833878797617,0.0
aave-v3,2024-03,31,8428978031,4751972307,13180950338,0.3605,31,33796048,4050939,0,29745104,4050939,11.774193548387096,0.3618596430122569,1.0037209132816118,8.37381164314476,11.986428117275723,88.01355708809503,0.0
aave-v3,2024-04,30,8636081545,4932992689,13569074234,0.3635,30,31536036,4148789,0,27387247,4148789,12.166666666666666,0.3719998281596351,1.0232517259936553,7.778005405432296,13.15570859952088,86.84429140047912,0.0
aave-v3,2024-05,31,9498953336,5384749469,14883702805,0.3618,31,26463905,3775870,0,22688053,3775870,11.774193548387096,0.2987013700556646,0.8256247472513263,5.786548497937723,14.268000130744122,85.73206788642871,0.0
aave-v3,2024-06,30,10811695596,7069099961,17880795557,0.3953,30,36857999,5682158,0,31175840,5682158,12.166666666666666,0.38663225085792713,0.9779593260066693,6.343650398316009,15.416349650451725,84.583647636433,0.0
aave-v3,2024-07,31,11060339557,7543235370,18603574927,0.4055,31,33849274,4886450,0,28962827,4886450,11.774193548387096,0.30926318350251636,0.7627232247495961,5.283514089106132,14.435907842513846,85.56410102030549,0.0
aave-v3,2024-08,31,10423565659,7022829084,17446394743,0.4025,31,39934025,5236914,0,34697122,5236914,11.774193548387096,0.3534279714552373,0.8779999953685056,6.695178451478443,13.11391476316249,86.88611278227026,0.0
aave-v3,2024-09,30,10573595769,7248809541,17822405310,0.4067,30,23628216,3577849,0,20050360,3577849,12.166666666666666,0.24424591074832122,0.600519242786747,3.965846065812643,15.142273119561796,84.85769725484141,0.0
aave-v3,2024-10,31,11745884940,8279565143,20025450083,0.4135,30,30529192,4329073,0,26200115,4329073,12.166666666666666,0.2630172502908167,0.6361492090100542,4.486207865405844,14.180109974741553,85.81987692304467,0.0
aave-v3,2024-11,30,15809025610,10704662513,26513688122,0.4037,30,48625674,6877381,0,41748280,6877381,12.166666666666666,0.31559095732606374,0.7816668864156153,5.526679297750225,14.143518092931732,85.85645517222034,0.0
aave-v3,2024-12,31,20304367057,14516397727,34820764784,0.4169,31,91575592,12536561,0,79039029,12536561,11.774193548387096,0.42390767853837175,1.0168355705122054,7.427660531170627,13.689849801899179,86.31014801411276,0.0
aave-v3,2025-01,31,20569806300,14475091078,35044897378,0.413,31,77427537,10355920,0,67071634,10355920,11.774193548387096,0.34793255387917915,0.842361583734229,6.298038483491627,13.374983114857445,86.62503884115544,0.0
aave-v3,2025-02,28,19280536450,12868982951,32149519401,0.4003,28,70183954,9134360,0,61049594,9134360,13.035714285714286,0.37037227728870314,0.925270533003577,7.109326162520256,13.01488371544299,86.98511628455701,0.0
aave-v3,2025-03,31,17610087329,11130695250,28740782579,0.3873,31,43173483,6247076,0,36926410,6247076,11.774193548387096,0.2559230310911148,0.6608237875840134,4.5669469299323415,14.469705860886878,85.53030108782282,0.0
aave-v3,2025-04,30,17744972089,10706898428,28451870517,0.3763,30,37491928,5202349,3030637,32289569,5202349,12.166666666666666,0.22246427042063102,0.5911632261415777,4.260354142089995,13.875917504162496,86.12405582342952,58.25516511868004
aave-v3,2025-05,31,22954665656,14537021507,37491687163,0.3877,31,45764370,6471160,4467515,39293214,6471160,11.774193548387096,0.20322555768515557,0.5241286207486976,3.70666404903187,14.14017061744759,85.85983812297646,69.03731324832025
aave-v3,2025-06,30,24642718809,16341751716,40984470526,0.3987,30,54582673,7713867,4063855,46868786,7713867,12.166666666666666,0.2289941709518036,0.5743083736127913,4.063757666300029,14.132446390084267,85.86751696825108,52.68246133878118
aave-v3,2025-07,31,29663071461,20292697647,49955769108,0.4062,31,75070467,10635214,3659464,64435254,10635214,11.774193548387096,0.2506638778672372,0.6170745272155984,4.355725510730596,14.166974610668134,85.83302672141363,34.40893620006142
aave-v3,2025-08,31,37098646499,26867708481,63966354979,0.42,31,107753988,15264443,3893658,92489552,15264443,11.774193548387096,0.28097037317403245,0.6689312801552075,4.722086035806801,14.166012120126819,85.83399437615246,25.508025415666985
aave-v3,2025-09,30,40536843225,28993158093,69530001319,0.417,30,113032137,15335717,3852694,97696416,15335717,12.166666666666666,0.2683511481285512,0.6435468541744737,4.743271943983326,13.567572379879891,86.43242408130352,25.122359782721603
aave-v3,2025-10,31,40205501392,27199367096,67404868488,0.4035,31,114663890,15012641,3807209,99651252,15012641,11.774193548387096,0.2622388334426025,0.6498744628232418,4.963625914918854,13.0927365188814,86.90726609746102,25.360021597798816
aave-v3,2025-11,30,31347460299,22620449895,53967910194,0.4191,30,95782744,12011840,3288105,83770913,12011840,12.166666666666666,0.2707980590836019,0.6460704982071858,5.151784001096528,12.540714014206985,87.45929538205755,27.37386611876282
aave-v3,2025-12,31,30793850345,21490132296,52283982641,0.411,31,70140245,8675051,2735258,61465178,8675051,11.774193548387096,0.19535950468324048,0.4752959549492437,3.8429024483716483,12.368150410652259,87.6318267779076,31.530166220348445
aave-v3,2026-01,31,32554389299,23019414135,55573803434,0.4142,31,80861986,10072762,2844382,70789218,10072762,11.774193548387096,0.21340747263355409,0.5152114152832182,4.136007407866064,12.456733377782731,87.54325920216701,28.238352102432284
aave-v3,2026-02,28,25949871317,17913386727,43863258044,0.4084,28,68890470,8644900,413512,60245558,8644900,13.035714285714286,0.2569176377995626,0.6290962627335871,5.013214405598712,12.548760372806283,87.45122220823868,4.783305764092124
aave-v3,2026-03,31,24494413971,16901578356,41395992326,0.4083,31,47350166,6201318,6155965,41148913,6201318,11.774193548387096,0.17638306097867634,0.4320041409693344,3.2985677863295177,13.09671860495695,86.90341867016897,99.26865546969209
aave-v3,2026-04,30,20900433361,16001745358,36902178720,0.4336,30,63078118,8201577,20188,54876403,8201577,12.166666666666666,0.27040640135949134,0.6235935597494839,4.796042047269445,13.002253808523584,86.99752741513309,0.24614778352992356
aave-v3,2026-05,31,13799929337,11226504984,25026434322,0.4486,31,51827230,6479702,135368,45347599,6479702,11.774193548387096,0.3048507210505965,0.679581629301408,5.435563765984733,12.502504957336132,87.49763203628672,2.089108418874819
