project,month,pool_days,pools,base_apy_w,reward_apy_w,organic,avg_pool_tvl,incentives_usd
aave-v3,2024-01,596,20,0.3742,0.0000,1.0000,220605720,0
aave-v3,2024-02,580,20,0.3308,0.0000,1.0000,255755781,0
aave-v3,2024-03,708,24,0.3965,0.0007,0.9983,332446138,4315
aave-v3,2024-04,747,26,0.5656,0.0039,0.9931,312006589,24934
aave-v3,2024-05,824,27,0.5392,0.0033,0.9940,329091936,24202
aave-v3,2024-06,908,32,0.5062,0.0005,0.9991,330733085,3902
aave-v3,2024-07,1022,33,0.5109,0.0000,1.0000,309698790,0
aave-v3,2024-08,1023,33,0.4500,0.0000,1.0000,283910086,0
aave-v3,2024-09,1014,36,0.4140,0.0000,1.0000,277209023,0
aave-v3,2024-10,1093,36,0.2890,0.0000,1.0000,294969172,0
aave-v3,2024-11,1073,36,0.2863,0.0000,1.0000,397627879,0
aave-v3,2024-12,1116,36,0.4772,0.0000,1.0000,480265452,0
aave-v3,2025-01,1123,37,0.7329,0.0000,1.0000,478083204,0
aave-v3,2025-02,1036,37,0.7788,0.0000,1.0000,429548342,0
aave-v3,2025-03,1169,38,0.6143,0.0000,1.0000,391340784,0
aave-v3,2025-04,1140,38,0.4668,0.0000,1.0000,392590455,0
aave-v3,2025-05,1178,38,0.3862,0.0000,1.0000,494914469,0
aave-v3,2025-06,1171,40,0.3794,0.0000,1.0000,507168822,0
aave-v3,2025-07,1270,41,0.3892,0.0000,1.0000,586102045,0
aave-v3,2025-08,1272,42,0.4140,0.0000,1.0000,712287784,0
aave-v3,2025-09,1269,45,0.4711,0.0000,1.0000,740714083,0
aave-v3,2025-10,1404,46,0.5190,0.0000,1.0000,736397747,0
aave-v3,2025-11,1380,46,0.4950,0.0000,1.0000,575736907,0
aave-v3,2025-12,1455,47,0.5063,0.0000,1.0000,597389293,0
aave-v3,2026-01,1472,52,0.4547,0.0000,1.0000,614060488,0
aave-v3,2026-02,1456,52,0.4795,0.0000,1.0000,444163084,0
aave-v3,2026-03,1615,55,0.4101,0.0000,1.0000,422395121,0
