project,month,util,du,dlb,dls,klass
aave-v3,2024-01,0.3549,-0.89,0.1622,0.1868,stable
aave-v3,2024-02,0.364,0.91,0.2106,0.1853,stable
aave-v3,2024-03,0.3605,-0.35,0.3747,0.3844,stable
aave-v3,2024-04,0.3635,0.3,0.0374,0.029,stable
aave-v3,2024-05,0.3618,-0.17,0.0876,0.0925,stable
aave-v3,2024-06,0.3953,3.35,0.2722,0.1835,mixed
aave-v3,2024-07,0.4055,1.02,0.0649,0.0396,mixed
aave-v3,2024-08,0.4025,-0.3,-0.0715,-0.0642,stable
aave-v3,2024-09,0.4067,0.42,0.0317,0.0213,stable
aave-v3,2024-10,0.4135,0.68,0.133,0.1165,stable
aave-v3,2024-11,0.4037,-0.98,0.2569,0.2807,stable
aave-v3,2024-12,0.4169,1.32,0.3046,0.2726,mixed
aave-v3,2025-01,0.413,-0.39,-0.0028,0.0064,stable
aave-v3,2025-02,0.4003,-1.27,-0.1176,-0.0862,both declining
aave-v3,2025-03,0.3873,-1.3,-0.1451,-0.1121,both declining
aave-v3,2025-04,0.3763,-1.1,-0.0388,-0.0101,borrow driven down
aave-v3,2025-05,0.3877,1.14,0.3058,0.2759,mixed
aave-v3,2025-06,0.3987,1.1,0.117,0.0891,mixed
aave-v3,2025-07,0.4062,0.75,0.2165,0.1979,stable
aave-v3,2025-08,0.42,1.38,0.2807,0.2472,mixed
aave-v3,2025-09,0.417,-0.3,0.0761,0.0834,stable
aave-v3,2025-10,0.4035,-1.35,-0.0639,-0.031,borrow driven down
aave-v3,2025-11,0.4191,1.56,-0.1843,-0.2223,both declining
aave-v3,2025-12,0.411,-0.81,-0.0513,-0.0317,stable
aave-v3,2026-01,0.4142,0.32,0.0687,0.061,stable
aave-v3,2026-02,0.4084,-0.58,-0.2508,-0.2366,stable
aave-v3,2026-03,0.4083,-0.01,-0.0581,-0.0579,stable
aave-v3,2026-04,0.4336,2.53,-0.0547,-0.1149,supply exit
aave-v3,2026-05,0.4486,1.5,-0.3544,-0.3883,both declining
aave-v3,2026-06,0.4486,0.0,-0.1325,-0.1324,stable
aave-v3,2026-07,0.4388,-0.98,0.0567,0.0787,stable
aave-v3,2026-08,0.4302,-0.86,0.0989,0.1187,stable
compound-v3,2024-01,0.2982,-0.08,-0.011,-0.0085,stable
compound-v3,2024-02,0.286,-1.22,0.0905,0.1323,mixed
compound-v3,2024-03,0.2751,-1.09,0.194,0.2328,mixed
compound-v3,2024-04,0.2852,1.01,-0.0595,-0.0954,both declining
compound-v3,2024-05,0.2983,1.31,-0.0041,-0.0491,supply exit
compound-v3,2024-06,0.3134,1.51,0.0795,0.0302,borrow driven up
compound-v3,2024-07,0.296,-1.74,-0.0907,-0.0336,borrow driven down
compound-v3,2024-08,0.3018,0.58,-0.1053,-0.1248,stable
compound-v3,2024-09,0.3131,1.13,0.116,0.0794,mixed
compound-v3,2024-10,0.3201,0.7,0.054,0.0319,stable
compound-v3,2024-11,0.2971,-2.3,0.1233,0.1979,mixed
compound-v3,2024-12,0.2815,-1.56,0.1339,0.1877,mixed
compound-v3,2025-01,0.2954,1.39,0.0569,0.0087,borrow driven up
compound-v3,2025-02,0.3053,0.99,-0.0045,-0.0374,stable
compound-v3,2025-03,0.3014,-0.39,-0.1352,-0.1223,stable
compound-v3,2025-04,0.2952,-0.62,-0.0771,-0.0564,stable
compound-v3,2025-05,0.2951,-0.01,0.1678,0.1683,stable
compound-v3,2025-06,0.2978,0.27,0.0179,0.0087,stable
compound-v3,2025-07,0.2974,-0.04,0.1019,0.1033,stable
compound-v3,2025-08,0.3029,0.55,0.0357,0.0171,stable
compound-v3,2025-09,0.3151,1.22,0.042,0.0027,borrow driven up
compound-v3,2025-10,0.3227,0.76,0.0209,-0.0029,stable
compound-v3,2025-11,0.3366,1.39,-0.2085,-0.2509,both declining
compound-v3,2025-12,0.3362,-0.04,-0.0429,-0.0415,stable
compound-v3,2026-01,0.3322,-0.4,0.0041,0.0159,stable
compound-v3,2026-02,0.3163,-1.59,-0.3488,-0.2999,both declining
compound-v3,2026-03,0.2923,-2.4,-0.0972,-0.0183,borrow driven down
compound-v3,2026-04,0.299,0.67,0.0678,0.0452,stable
compound-v3,2026-05,0.3164,1.74,0.0195,-0.0368,mixed
compound-v3,2026-06,0.3394,2.3,-0.0655,-0.1358,supply exit
compound-v3,2026-07,0.3296,-0.98,0.021,0.0503,stable
compound-v3,2026-08,0.3203,-0.93,0.0376,0.0664,stable
euler-v2,2024-10,0.3405,12.02,1.1011,0.6657,mixed
euler-v2,2024-11,0.3609,2.04,1.6403,1.5822,mixed
euler-v2,2024-12,0.4092,4.83,0.8851,0.7594,mixed
euler-v2,2025-01,0.4227,1.35,0.7287,0.6963,mixed
euler-v2,2025-02,0.4159,-0.68,0.3769,0.3933,stable
euler-v2,2025-03,0.4551,3.92,0.9146,0.8244,mixed
euler-v2,2025-04,0.46,0.49,0.4209,0.4102,stable
euler-v2,2025-05,0.4774,1.74,0.3776,0.3405,mixed
euler-v2,2025-06,0.4855,0.81,0.2006,0.1837,stable
euler-v2,2025-07,0.5312,4.57,0.2595,0.1696,mixed
euler-v2,2025-08,0.5204,-1.08,0.1006,0.1212,mixed
euler-v2,2025-09,0.488,-3.24,0.0571,0.1215,supply inflow
euler-v2,2025-10,0.488,0.0,0.1386,0.1386,stable
euler-v2,2025-11,0.5393,5.13,-0.2865,-0.3865,both declining
euler-v2,2025-12,0.5226,-1.67,-0.1516,-0.1203,both declining
euler-v2,2026-01,0.5283,0.57,-0.1467,-0.1575,stable
euler-v2,2026-02,0.5893,6.1,-0.2351,-0.3443,both declining
euler-v2,2026-03,0.6045,1.52,0.0224,-0.0032,borrow driven up
euler-v2,2026-04,0.6382,3.37,0.0026,-0.0515,supply exit
euler-v2,2026-05,0.6751,3.69,-0.0604,-0.1166,both declining
euler-v2,2026-06,0.7051,3.0,-0.1104,-0.1539,both declining
euler-v2,2026-07,0.6601,-4.5,-0.1092,-0.0432,borrow driven down
euler-v2,2026-08,0.6222,-3.79,-0.0015,0.0577,supply inflow
fluid-lending,2024-04,0.5781,2.2,0.8027,0.7639,mixed
fluid-lending,2024-05,0.4794,-9.87,0.36,0.5471,mixed
fluid-lending,2024-06,0.4654,-1.4,0.2052,0.235,mixed
fluid-lending,2024-07,0.4624,-0.3,-0.0932,-0.0869,stable
fluid-lending,2024-08,0.4495,-1.29,-0.0677,-0.0394,both declining
fluid-lending,2024-09,0.464,1.45,0.137,0.1053,mixed
fluid-lending,2024-10,0.449,-1.5,-0.0214,0.0116,mixed
fluid-lending,2024-11,0.4898,4.08,0.35,0.263,mixed
fluid-lending,2024-12,0.4905,0.07,0.3071,0.3054,stable
fluid-lending,2025-01,0.4838,-0.67,0.1092,0.1231,stable
fluid-lending,2025-02,0.4541,-2.97,-0.0112,0.0521,supply inflow
fluid-lending,2025-03,0.4418,-1.23,-0.122,-0.0945,both declining
fluid-lending,2025-04,0.4298,-1.2,-0.1013,-0.0738,both declining
fluid-lending,2025-05,0.4636,3.38,0.3397,0.2638,mixed
